Fish,ID,Node_count,X,Y,Z,Sec,Error,dt,uSecs
174,768a,4,647254.6,4185937.1,3,1521836901,0.000141,3/23/2018 13:28,560939
174,768a,7,647259.1,4185939.6,0,1521836911,0.000707,3/23/2018 13:28,617705
174,768a,6,647260.6,4185940.1,0,1521836916,0.000625,3/23/2018 13:28,648899
174,768a,5,647262.1,4185940.1,0,1521836921,0.000319,3/23/2018 13:28,676089
174,768a,4,647264.1,4185940.6,3,1521836926,0.000194,3/23/2018 13:28,724875
174,768a,7,647265.1,4185941.1,0,1521836931,0.000846,3/23/2018 13:28,755674
174,768a,6,647267.1,4185940.1,3,1521836936,0.000721,3/23/2018 13:28,796678
174,768a,6,647272.1,4185944.1,1,1521836941,0.001332,3/23/2018 13:29,826744
174,768a,5,647272.1,4185941.1,0,1521836946,0.000599,3/23/2018 13:29,855696
174,768a,4,647273.1,4185939.1,5,1521836951,0.000433,3/23/2018 13:29,884170
174,768a,6,647276.1,4185940.1,2,1521836956,0.00133,3/23/2018 13:29,902896
174,768a,5,647281.1,4185940.1,0,1521836966,0.000672,3/23/2018 13:29,954243
174,768a,4,647278.6,4185936.1,2.5,1521836971,0.000198,3/23/2018 13:29,993970
174,768a,5,647284.1,4185939.1,4,1521836977,0.000916,3/23/2018 13:29,2629
174,768a,5,647289.1,4185937.6,2.5,1521836997,0.001106,3/23/2018 13:29,108280
174,768a,3,647294.1,4185938.6,1.5,1521837002,3.50E-05,3/23/2018 13:30,134203
174,768a,3,647296.1,4185937.6,2,1521837012,2.20E-05,3/23/2018 13:30,184321
174,768a,3,647288.6,4185935.1,4,1521837017,2.40E-05,3/23/2018 13:30,210868
174,768a,3,647259.1,4185917.1,1.5,1521837022,0.000543,3/23/2018 13:30,235433
174,768a,5,647282.1,4185928.1,0.5,1521837253,0.000882,3/23/2018 13:34,266083
174,768a,4,647282.1,4185929.1,0,1521837258,0.000725,3/23/2018 13:34,284177
174,768a,3,647281.6,4185929.1,0.5,1521837263,7.00E-06,3/23/2018 13:34,321799
174,768a,5,647280.6,4185928.6,1.5,1521837268,0.001011,3/23/2018 13:34,320260
174,768a,3,647275.1,4185923.6,3.5,1521837273,1.90E-05,3/23/2018 13:34,339670
174,768a,6,647278.6,4185929.6,0,1521837278,0.000859,3/23/2018 13:34,364517
174,768a,3,647271.6,4185921.1,0.5,1521837283,1.30E-05,3/23/2018 13:34,384556
174,768a,3,647280.1,4185932.6,5,1521837293,1.50E-05,3/23/2018 13:34,425117
174,768a,5,647274.1,4185932.6,0,1521837303,0.000598,3/23/2018 13:35,466269
174,768a,4,647269.6,4185931.6,1,1521837308,0.000928,3/23/2018 13:35,486053
174,768a,6,647273.1,4185933.6,0,1521837313,0.000702,3/23/2018 13:35,504714
174,768a,4,647267.1,4185932.1,1,1521837318,0.000936,3/23/2018 13:35,524099
174,768a,4,647271.1,4185934.1,0,1521837323,0.000262,3/23/2018 13:35,544152
174,768a,3,647269.6,4185935.1,0.5,1521837333,2.40E-05,3/23/2018 13:35,600499
174,768a,3,647275.1,4185939.1,3.5,1521837338,2.80E-05,3/23/2018 13:35,603518
174,768a,5,647269.6,4185938.6,0,1521837343,0.000725,3/23/2018 13:35,622649
174,768a,3,647264.1,4185933.1,2.5,1521837348,1.00E-06,3/23/2018 13:35,658404
174,768a,3,647249.1,4185917.1,0.5,1521837353,4.10E-05,3/23/2018 13:35,663739
174,768a,5,647266.6,4185941.1,0,1521837358,0.000606,3/23/2018 13:35,682922
174,768a,7,647264.1,4185940.6,0,1521837363,0.000707,3/23/2018 13:36,704492
174,768a,6,647263.1,4185941.6,0,1521837368,0.000372,3/23/2018 13:36,723815
174,768a,6,647262.1,4185943.1,0,1521837373,0.000388,3/23/2018 13:36,744756
174,768a,3,647270.6,4185953.1,4.5,1521837378,1.40E-05,3/23/2018 13:36,764688
174,768a,3,647257.1,4185931.6,3,1521837383,1.00E-06,3/23/2018 13:36,783796
174,768a,5,647260.1,4185945.1,5,1521837388,0.000588,3/23/2018 13:36,809449
174,768a,6,647258.1,4185945.6,0.5,1521837393,0.000326,3/23/2018 13:36,827971
174,768a,6,647257.1,4185947.1,0,1521837398,0.000581,3/23/2018 13:36,845701
174,768a,4,647257.6,4185951.1,5,1521837403,0.000941,3/23/2018 13:36,878344
174,768a,3,647257.1,4185952.1,4.5,1521837408,1.60E-05,3/23/2018 13:36,899903
174,768a,4,647258.6,4185926.1,3,1521837413,0.00016,3/23/2018 13:36,918334
174,768a,8,647252.6,4185950.6,0.5,1521837418,0.001734,3/23/2018 13:36,938378
174,768a,3,647252.1,4185950.1,1,1521837423,9.00E-06,3/23/2018 13:37,956871
174,768a,5,647252.6,4185952.1,4,1521837428,0.000574,3/23/2018 13:37,977716
174,768a,6,647252.1,4185953.6,0,1521837433,0.000566,3/23/2018 13:37,997432
174,768a,4,647252.1,4185954.1,1,1521837439,5.40E-05,3/23/2018 13:37,17369
174,768a,4,647252.1,4185957.6,5,1521837444,0.000113,3/23/2018 13:37,37863
174,768a,3,647252.6,4185956.1,2,1521837449,2.60E-05,3/23/2018 13:37,57257
174,768a,4,647254.6,4185962.6,1,1521837454,0.000342,3/23/2018 13:37,79780
174,768a,5,647253.6,4185960.1,2.5,1521837459,0.00021,3/23/2018 13:37,101085
174,768a,3,647255.1,4186010.1,3.5,1521837464,1.00E-06,3/23/2018 13:37,124564
174,768a,3,647254.6,4185963.6,5,1521837469,4.50E-05,3/23/2018 13:37,141950
174,768a,3,647257.1,4185944.1,5,1521837484,5.90E-05,3/23/2018 13:38,239779
174,768a,3,647262.1,4185964.1,2,1521837504,2.50E-05,3/23/2018 13:38,285011
174,768a,3,647262.6,4185967.1,0.5,1521837509,4.00E-06,3/23/2018 13:38,304592
174,768a,3,647295.1,4186028.6,2,1521837534,4.00E-06,3/23/2018 13:38,418497
174,768a,5,647264.6,4185970.1,0,1521837539,0.000164,3/23/2018 13:38,437955
174,768a,3,647264.1,4185970.6,0.5,1521837549,3.00E-05,3/23/2018 13:39,476528
174,768a,4,647270.1,4185964.1,0.5,1521837579,0.00032,3/23/2018 13:39,605291
174,768a,4,647270.1,4185955.6,4,1521837609,0.000469,3/23/2018 13:40,732388
174,768a,5,647274.1,4185961.6,4.5,1521837614,0.000925,3/23/2018 13:40,751445
174,768a,3,647355.6,4186059.1,2,1521837624,1.00E-06,3/23/2018 13:40,795045
174,768a,3,647270.1,4185958.6,1.5,1521837629,1.90E-05,3/23/2018 13:40,823231
174,768a,4,647265.6,4185953.6,0,1521837639,3.40E-05,3/23/2018 13:40,873242
174,768a,3,647269.1,4185961.1,0,1521837649,8.00E-06,3/23/2018 13:40,913938
174,768a,4,647269.1,4185957.1,5,1521837654,0.000229,3/23/2018 13:40,954784
174,768a,4,647268.6,4185954.6,1,1521837665,0.000337,3/23/2018 13:41,2493
174,768a,6,647268.6,4185954.1,0,1521837670,0.000541,3/23/2018 13:41,17918
174,768a,3,647272.6,4185962.6,5,1521837685,1.00E-05,3/23/2018 13:41,85722
174,768a,6,647270.6,4185952.6,0.5,1521837695,0.000406,3/23/2018 13:41,134228
174,768a,4,647269.6,4185952.6,4,1521837705,0.000766,3/23/2018 13:41,181648
174,768a,3,647266.6,4185956.6,0,1521837720,2.90E-05,3/23/2018 13:42,262208
174,768a,4,647265.6,4185958.1,0,1521837725,6.30E-05,3/23/2018 13:42,287052
174,768a,5,647261.6,4185954.1,3,1521837735,0.000136,3/23/2018 13:42,334638
174,768a,5,647261.1,4185953.6,2.5,1521837740,0.000155,3/23/2018 13:42,360235
174,768a,4,647263.6,4185958.1,5,1521837745,0.000175,3/23/2018 13:42,383878
174,768a,4,647260.1,4185954.6,4,1521837750,9.30E-05,3/23/2018 13:42,410851
174,768a,4,647259.1,4185955.6,0.5,1521837755,0.000168,3/23/2018 13:42,434644
174,768a,4,647259.1,4185956.1,4.5,1521837760,4.80E-05,3/23/2018 13:42,456478
174,768a,5,647259.1,4185957.1,0,1521837770,0.000603,3/23/2018 13:42,503755
174,768a,4,647258.1,4185954.1,5,1521837775,0.000111,3/23/2018 13:42,527044
174,768a,3,647259.1,4185957.6,3.5,1521837780,3.30E-05,3/23/2018 13:43,549185
174,768a,4,647259.1,4185957.1,5,1521837785,0.000494,3/23/2018 13:43,570371
174,768a,3,647262.6,4185967.1,4,1521837795,3.80E-05,3/23/2018 13:43,612608
174,768a,4,647259.6,4185963.1,0,1521837800,8.90E-05,3/23/2018 13:43,631732
